Unique Key,Descriptor,Location Type,Incident Zip,Incident Address,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location,geometry,year,Info_Accuracy,Vacancy_Type,Current_Status,Repeated,Comment
36361312,Rat Sighting,Vacant Lot,10026,141 WEST  110 STREET,997032,230316,40.798831,-73.953834,"(40.798830969027264, -73.95383388924596)",POINT (-73.95383388924594 40.79883096902726),2017,FALSE,/,/,FALSE,
34427693,Mouse Sighting,Vacant Lot,10026,143 CENTRAL PARK NORTH,997023,230321,40.7988447,-73.953866,"(40.798844705676956, -73.95386638598758)",POINT (-73.95386638598758 40.79884470567696),2016,FALSE,/,/,FALSE,
33271221,Condition Attracting Rodents,Vacant Lot,10026,145 WEST  110 STREET,997013,230327,40.7988612,-73.953902,"(40.79886118848897, -73.95390249264929)",POINT (-73.95390249264929 40.79886118848897),2016,FALSE,/,/,FALSE,
32874453,Rat Sighting,Vacant Building,10026,127 WEST  111 STREET,997230,230491,40.799311,-73.953118,"(40.79931100761038, -73.95311841341487)",POINT (-73.95311841341488 40.79931100761038),2016,FALSE,/,/,FALSE,
34261806,Rat Sighting,Vacant Lot,10026,145 WEST 110TH STREET,996861,230498,40.7993308,-73.954451,"(40.79933075504134, -73.95445116623793)",POINT (-73.95445116623793 40.79933075504134),2016,/,/,/,TRUE,
20586871,Rat Sighting,Vacant Lot,10026,239 WEST 111 STREET,996407,230947,40.8005638,-73.95609,"(40.800563773582866, -73.95609012550455)",POINT (-73.95609012550455 40.80056377358287),2011,FALSE,/,/,FALSE,
23726210,Condition Attracting Rodents,Vacant Lot,10026,143 WEST 113 STREET,997284,231059,40.8008699,-73.952922,"(40.80086993277902, -73.95292227193734)",POINT (-73.95292227193734 40.80086993277902),2012,FALSE,,/,FALSE,
36486365,Condition Attracting Rodents,Vacant Building,10026,67 SAINT NICHOLAS AVENUE,997279,231233,40.8013475,-73.95294,"(40.801347522488676, -73.9529399938837)",POINT (-73.9529399938837 40.80134752248868),2017,FALSE,/,/,FALSE,
25375882,Rat Sighting,Vacant Lot,10026,1855 7 AVENUE,997034,231259,40.8014192,-73.953825,"(40.801419243232715, -73.95382487026464)",POINT (-73.95382487026464 40.80141924323271),2013,FALSE,/,/,FALSE,
41773615,Signs of Rodents,Vacant Lot,10026,56 WEST 116 STREET,998369,231264,40.8014309,-73.949003,"(40.80143093449569, -73.94900291161811)",POINT (-73.94900291161811 40.80143093449568),2019,FALSE,/,/,FALSE,
23181172,Rat Sighting,Vacant Lot,10026,40 WEST 116 STREET,998552,231271,40.8014499,-73.948342,"(40.80144985326281, -73.94834191044643)",POINT (-73.94834191044643 40.80144985326281),2012,FALSE,/,/,FALSE,
40977440,Condition Attracting Rodents,Vacant Lot,10026,101 WEST  116 STREET,997928,231295,40.8015167,-73.950596,"(40.801516714673454, -73.95059571702271)",POINT (-73.95059571702271 40.80151671467345),2018,TRUE,VB,VACANT,FALSE,
39514846,Condition Attracting Rodents,Vacant Lot,10026,64 WEST 116TH STREET,998304,231323,40.801593,-73.949238,"(40.80159297694487, -73.94923756466655)",POINT (-73.94923756466655 40.80159297694487),2018,FALSE,/,/,FALSE,
39473680,Condition Attracting Rodents,Vacant Lot,10026,68 WEST 116TH STREET,998254,231326,40.8016013,-73.949418,"(40.80160129050896, -73.94941815618962)",POINT (-73.94941815618962 40.80160129050896),2018,TRUE,VL,VACANT,FALSE,
42738727,Rat Sighting,Vacant Lot,10026,70 WEST 116 STREET,998219,231347,40.801659,-73.949545,"(40.8016589851527, -73.94954453096183)",POINT (-73.94954453096183 40.80165898515271),2019,FALSE,/,/,FALSE,
23016789,Signs of Rodents,Vacant Lot,10026,66 WEST  116 STREET,998407,231351,40.8016697,-73.948865,"(40.80166966483794, -73.94886547420391)",POINT (-73.94886547420391 40.80166966483794),2012,FALSE,/,/,FALSE,
22877972,Rat Sighting,Vacant Lot,10026,66 WEST 116 STREET,998396,231357,40.8016862,-73.948905,"(40.801686150810006, -73.94890519312018)",POINT (-73.94890519312018 40.80168615081001),2012,FALSE,/,/,FALSE,
37801920,Rat Sighting,Vacant Lot,10026,68 WEST  116 STREET,998384,231364,40.8017054,-73.948949,"(40.80170538309377, -73.94894852191264)",POINT (-73.94894852191264 40.80170538309378),2017,/,/,/,TRUE,
33786167,Rat Sighting,Vacant Building,10026,113 LENOX AVENUE,998128,231391,40.8017799,-73.949873,"(40.801779896482955, -73.94987312830415)",POINT (-73.94987312830416 40.80177989648296),2016,FALSE,/,/,FALSE,
22245326,Rat Sighting,Vacant Lot,10026,310 WEST 112 STREET,995999,231465,40.8019861,-73.957563,"(40.801986093612804, -73.9575628742754)",POINT (-73.95756287427541 40.8019860936128),2011,FALSE,/,/,FALSE,
38195226,Condition Attracting Rodents,Vacant Lot,10026,55 W 116TH ST,998222,231471,40.8019993,-73.949533,"(40.80199932639517, -73.94953343704967)",POINT (-73.94953343704968 40.80199932639518),2018,/,/,/,TRUE,
15956897,Rat Sighting,Vacant Lot,10026,316 WEST 112 STREET,995981,231474,40.8020108,-73.957628,"(40.80201082006091, -73.95762787413892)",POINT (-73.95762787413892 40.80201082006091),2010,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
25571346,Condition Attracting Rodents,Vacant Building,10026,315 WEST 112 STREET,995990,231476,40.8020163,-73.957595,"(40.8020162975588, -73.9575953628358)",POINT (-73.9575953628358 40.8020162975588),2013,FALSE,/,/,FALSE,
18607356,Condition Attracting Rodents,Vacant Lot,10026,317 WEST 112 STREET,995984,231479,40.8020245,-73.957617,"(40.80202453970612, -73.95761702946545)",POINT (-73.95761702946545 40.80202453970612),2010,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
42408061,Rat Sighting,Vacant Lot,10026,55 WEST 116 STREET,998505,231481,40.8020263,-73.948511,"(40.802026321613134, -73.94851122614963)",POINT (-73.94851122614962 40.80202632161313),2019,FALSE,/,/,FALSE,
22250028,Condition Attracting Rodents,Vacant Lot,10026,272 MANHATTAN AVENUE,995601,231481,40.8020305,-73.959,"(40.802030529483076, -73.95900041412796)",POINT (-73.95900041412796 40.80203052948308),2011,FALSE,/,/,FALSE,
31411266,Rat Sighting,Vacant Lot,10026,270 WEST  113 STREET,996454,231512,40.8021145,-73.955919,"(40.802114478991, -73.95591933927666)",POINT (-73.95591933927666 40.802114478991),2015,TRUE,COMMON PLACE,COMMON PLACE,FALSE,
43041864,Rat Sighting,Vacant Lot,10026,110 WEST 116 STREET,997954,231602,40.8023593,-73.950501,"(40.802359305165226, -73.95050117969204)",POINT (-73.95050117969205 40.80235930516523),2019,FALSE,/,/,FALSE,
42931718,Rat Sighting,Vacant Lot,10026,101 WEST 116 STREET,998077,231647,40.8024826,-73.950057,"(40.80248262618469, -73.950056811365)",POINT (-73.950056811365 40.80248262618469),2019,FALSE,/,/,FALSE,
30759623,Condition Attracting Rodents,Vacant Lot,10026,305 WEST  113 STREET,996145,231691,40.8026062,-73.957035,"(40.802606206258616, -73.95703512523473)",POINT (-73.95703512523474 40.80260620625862),2015,FALSE,/,/,FALSE,
30761414,Rat Sighting,Vacant Lot,10026,318 WEST  113 STREET,996107,231705,40.8026447,-73.957172,"(40.802644683490584, -73.95717235691977)",POINT (-73.95717235691977 40.80264468349058),2015,TRUE,VL,VACANT,FALSE,
24581818,Rat Sighting,Vacant Building,10026,75 WEST 118 STREET,998749,231791,40.8028768,-73.947629,"(40.80287678946287, -73.9476292338253)",POINT (-73.9476292338253 40.80287678946286),2012,FALSE,/,/,FALSE,
18508110,Condition Attracting Rodents,Vacant Lot,10026,229 WEST 115 STREET,997011,231805,40.8029179,-73.953907,"(40.80291789666797, -73.9539069073108)",POINT (-73.9539069073108 40.80291789666796),2010,FALSE,/,/,FALSE,
20806544,Rat Sighting,Vacant Lot,10026,17 WEST 119 STREET,999256,231808,40.8029226,-73.945798,"(40.8029226032787, -73.94579789906592)",POINT (-73.94579789906592 40.8029226032787),2011,FALSE,/,/,FALSE,
30930076,Signs of Rodents,Vacant Building,10026,36 WEST 119TH STREET,999043,231826,40.8029724,-73.946567,"(40.80297236751045, -73.9465672213032)",POINT (-73.94656722130321 40.80297236751045),2015,FALSE,/,/,FALSE,
21092557,Condition Attracting Rodents,Vacant Lot,10026,23 WEST 119 STREET,999221,231828,40.8029776,-73.945924,"(40.80297755715398, -73.94592427543851)",POINT (-73.94592427543851 40.80297755715398),2011,TRUE,VB,CONST,FALSE,NYC HOUSING
40246730,Condition Attracting Rodents,Vacant Building,10026,107 WEST 117 STREET,998117,231841,40.803015,-73.949912,"(40.80301504020598, -73.94991193053295)",POINT (-73.94991193053295 40.80301504020598),2018,TRUE,VB,VACANT,FALSE,
43622786,Rat Sighting,Vacant Building,10026,107 WEST  117 STREET,998117,231841,40.803015,-73.949912,"(40.80301504020598, -73.94991193053295)",POINT (-73.94991193053295 40.80301504020598),2019,/,/,/,TRUE,
29629050,Rat Sighting,Vacant Building,10026,42 WEST 119TH STREET,999010,231847,40.8030301,-73.946686,"(40.803030061926194, -73.94668637214029)",POINT (-73.94668637214029 40.80303006192619),2015,TRUE,VB,VACANT,FALSE,
39455516,Rat Sighting,Vacant Building,10026,42 W 119TH ST,999018,231858,40.8030602,-73.946657,"(40.80306024053475, -73.94665745167705)",POINT (-73.94665745167704 40.80306024053475),2018,/,/,/,TRUE,
16345439,Condition Attracting Rodents,Vacant Building,10026,40 WEST 119 STREET,999091,231893,40.8031562,-73.946394,"(40.803156183598034, -73.94639369574621)",POINT (-73.94639369574621 40.80315618359803),2010,FALSE,/,/,FALSE,
31855537,Rat Sighting,Vacant Lot,10026,304 W 114TH ST,996143,231896,40.8031689,-73.957042,"(40.80316887764858, -73.9570419861307)",POINT (-73.9570419861307 40.80316887764858),2015,FALSE,/,/,FALSE,
16144977,Condition Attracting Rodents,Vacant Lot,10026,306 WEST 114 STREET,996245,231927,40.8032538,-73.956674,"(40.80325382624683, -73.95667350253744)",POINT (-73.95667350253744 40.80325382624683),2010,/,/,/,TRUE,
18633301,Condition Attracting Rodents,Vacant Lot,10026,310 WEST 114 STREET,996222,231940,40.8032895,-73.956757,"(40.80328953886836, -73.95675655641215)",POINT (-73.95675655641216 40.80328953886836),2010,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
43799961,Condition Attracting Rodents,Vacant Lot,10026,237 WEST  115 STREET,996758,231947,40.803308,-73.95482,"(40.803308009424114, -73.95482048575856)",POINT (-73.95482048575856 40.80330800942411),2019,FALSE,/,/,FALSE,
29609153,Rat Sighting,Vacant Building,10026,66 WEST 119TH STREET,998811,231960,40.8033405,-73.947405,"(40.80334054604667, -73.94740492174644)",POINT (-73.94740492174644 40.80334054604667),2014,TRUE,VB,VACANT,FALSE,
